"","scrubbed_species_binomial"
"22695","Neea clarkii"
"22699","Neea coccinea"
"22707","Neea collina"
"22709","Neea compressa"
"22711","Neea constricta"
"22741","Neea constrictoides"
"22743","Neea cubana"
"22744","Neea darienensis"
"22749","Neea davidsei"
"22756","Neea delicatula"
"22822","Neea demissa"
"22823","Neea dimorphophylla"
"22835","Neea divaricata"
"23316","Neea duckei"
"23318","Neea duseniana"
"23320","Neea ekmanii"
"23321","Neea fagifolia"
"23366","Neea floribunda"
"23566","Neea glaziovii"
"23567","Neea glomeruliflora"
"23575","Neea grandis"
"23578","Neea guaiquinimae"
"23580","Neea hermaphrodita"
"23945","Neea hirsuta"
"23963","Neea huachamacarae"
"23968","Neea ignicola"
"23969","Neea krukovii"
"23979","Neea laetevirens"
"24305","Neea lanceolata"
"24307","Neea laxa"
"24373","Neea liesneri"
"24376","Neea longipedunculata"
"24391","Neea macrantha"
"24392","Neea macrophylla"
"24709","Neea madeirana"
"24729","Neea mapirensis"
"24807","Neea mapourioides"
"24810","Neea marahuacae"
"24812","Neea mexiae"
"24813","Neea mitscherlichia"
"24814","Neea mollis"
"24839","Neea neblinensis"
"24849","Neea obovata"
"24904","Neea obovoides"
"24905","Neea oppositifolia"
"24956","Neea orosiana"
"25012","Neea ovalifolia"
"25341","Neea parimensis"
"25344","Neea parviflora"
"25484","Neea parvifolia"
"25499","Neea pendulina"
"25513","Neea petenensis"
"25518","Neea pisonioides"
"25519","Neea pittieri"
"25608","Neea prasina"
"25609","Neea psychotrioides"
"26195","Neea pubescens"
"26196","Neea pulcherrima"
"26197","Neea ramiflora"
"26199","Neea robusta"
"26218","Neea schwackeana"
"26239","Neea sebastianii"
"26241","Neea selloiana"
"26244","Neea shaferi"
"26247","Neea sparsiflora"
"26248","Neea speciosa"
"26251","Neea spectabilis"
"26252","Neea spruceana"
"26591","Neea steinbachiana"
"26603","Neea stellulata"
"26604","Neea stenophylla"
"26621","Neea subcoccinea"
"26625","Neea subglabrata"
"26631","Neea subpubescens"
"26634","Neea subtubulosa"
"26635","Neea tenuis"
"26676","Neea tepuiensis"
"26677","Neea theifera"
"26772","Neea transparens"
"26777","Neea tristis"
"26783","Neea turbinata"
"26785","Neea uleana"
"26786","Neea urophylla"
"26894","Neea verticillala"
"26895","Neea verticillata"
"27002","Neea virens"
"27136","Neea williamsii"
"27138","Neea woronowii"
"27141","Neeopsis flavifolia"
"27151","Nyctaginia capitata"
"27225","Okenia grandiflora"
"27226","Okenia hypogaea"
"27291","Okenia parviflora"
"27298","Okenia rosei"
"27299","Oxybaphus corymbosus"
"27313","Oxybaphus nyctagineus"
"28728","Oxybaphus polytrichus"
"28729","Oxybaphus pratensis"
"28734","Petiveria alliacea"
"29858","Phytolacca acinosa"
"29859","Phytolacca americana"
"31816","Phytolacca bogotensis"
"32071","Phytolacca brachystachys"
